"","Hotel_name","Location","Price","Discount","Rating"
"304","Flagship Good Will Near Haiderpur Metro Station","Gobind Mohalla, Delhi","1142","67% off","2"
"305","OYO Flagship 84596 Hotel North Campus","Civil Lines Tehsilnull, Delhi","1788","65% off","1"
"306","OYO Flagship 811530 Bed Box","gali no 1 kamla nagar, Delhi","1232","67% off","34"
"307","Collection O Model Town Metro View Near Model Town Metro Station","Near Model Town Metro Station, Delhi","1262","64% off","7286"
"308","OYO Flagship 79243 Hotel Greenwoods","Paharganj, Delhi","1036","67% off","324"
"309","OYO Flagship 811844 Yes Sir Guest House","PAHARGANJ, Delhi","777","75% off","1945"
"310","SPOT ON Jain House Near V3s Mall","Near East Azad Nagar, Azadnagar, Delhi","1747","65% off","1925"
"311","OYO Flagship 811980 Hotel Rainbow","Block A kewal park extension opposite metro pillar number 78 Azadpur Delhi 110033, Delhi","688","72% off","1688"
"312","Collection O 23641 Hotel Cozy Vibes Stay","Near Inderlok Metro Station, Anandnagar, Delhi","627","73% off","5595"
"313","OYO Flagship 81175 Hotel Moon Stay","New Delhi, Delhi","909","67% off","1558"
"314","Flagship Crown Town Guest House","near by Mandoli Jail Back Side, Delhi","1614","65% off","990"
"315","OYO 811874 Hotel Maharaja","Address- Shop No : 30-32-34 Old Market Main Bus Stand Timarpur Delhi 110054.  Opposite DTC Bus Stand, Delhi","679","68% off","94"
"316","OYO Flagship 812028 Brownie","BS Colony Vishwas Nagar Delhi 110032, Delhi","984","67% off","5054"
"317","SPOT ON 812286 Shivam Guest House ","3 Katra baryan laal Kuan farash khana Chandni chowk, Delhi","1587","65% off","1555"
"318","Flagship Mannat Residency Near Shiv Vihar Metro Station","Near David School, Delhi","1912","64% off","3064"
"319","OYO Flagship 811723 Hotel Sai Ram","Azadpur, Delhi","1005","67% off","690"
"320","Super OYO Townhouse 143 Hotel Royal Garden Near park Street Mullick bazar crossing","Near Jameson Inn, Park St, Kolkata","1106","67% off","3237"
"321","Flagship The Nest Inn Near Acropolis Mall","Near Raj Market, Kolkata","2032","65% off","194"
"322","Flagship Royal Plaza Near Acropolis Mall","Near GST Bhawan, Ruby, Acropolis Mall","890","65% off","5158"
"323","Collection O Hotel Hamza International Near Howrah Bridge","Near College Street, MG Road, Kolkata","1086","67% off","1162"
"324","Super OYO Townhouse 1050 Centre Point Inn Near Esplanade Metro Station","Beside K C Das Sweet Esplanade Post Office, Kolkata","791","67% off","1684"
"325","OYO Townhouse 229 Hotel Mannat International Near Science City Topsia","Near Bypass Connector, Kolkata","1345","65% off","152"
"326","Super OYO Collection O Ketan Regency Near Acropolis Mall","953 Purbachal Road adapt House Prince Park Kalikapur  in lane between Tata chroma showroom & Yamaha Moters Showroom","576","71% off","661"
"327","Townhouse Oak Hotel Lake View Royal Near Science City","East Topsia Road, Kolkata","1071","67% off","1732"
"328","Flagship R A Homestay Near Acropolis Mall","Nitai Nagar, Kolkata","990","67% off","2324"
"329","Collection O 74257 Gokul Residency","Near Emami City, Nagerbazar, Dum Dum, Kolkata","925","67% off","326"
"330","Super OYO Collection O Hotel Green Leaf Near Acropolis Mall","Kasba, Kolkata","696","76% off","1652"
"331","Super OYO Townhouse 726 Hotel All In One Near City Centre Salt Lake","DL-34 Karunamoyee Near Anandalok Hospital Bidhannagar Saltlake","1380","67% off","1178"
"332","OYO G R Hospitality","VIP Road Baguihati Kolkata Airport Near Ladies Hostel, Narayantala","820","69% off","1063"
"333","SPOT ON Silver Green Near Netaji Subhash Chandra Bose International Airport","Mondal Ganthi Road, Kaikhali, VIP Road Kolkata 700052, West Bengal","1006","67% off","823"
"334","OYO A Retro Near Rdb Cinemas","Near Tank N0.3, New Town, Rajarhat, Kolkata","1753","65% off","695"
"335","Super OYO Townhouse 75779 The Royal Retreat","Kolkata International Airport, Belghoria Express Way Noapara & Baranagar Metro Station","1050","69% off","725"
"336","OYO Kuber Residency Near Birla Mandir","Near Tagore Park, Kasba, Kolkata","1241","65% off","756"
"337","Collection O Aafreen Tower Near St. Thomas's Church","Esplanade, Kolkata","1136","68% off","914"
"338","Flagship Hotel Shanavi Chinar Park","29/2 Sayan Abasan, Nishi Kanan, Beside AR Motors, Chinar Park, Kolkata","1458","64% off","17"
"339","Flagship Sonar Bangla Guest House Near Acropolis Mall","Near G S T Bhawan, Kolkata","576","80% off","1094"
"340","Flagship Royal Palace","Near Acropolis Mall, Purba Abasan, Kolkata","1071","67% off","189"
"341","OYO Diamond Plaza Near Acropolis Mall","Kasbah Northnull, Kolkata","955","67% off","81"
"342","Flagship Hotel New Aamaze Inn Near Acropolis Mall","Near Vivanta Hotel, Kolkata","777","75% off","822"
"343","Flagship Delightful Stay Em Byepass Near Birla Mandir","Uttar Panchanna Gram, Kolkata","1023","64% off","1807"
"344","Super OYO Hr Inn Near City Centre Salt Lake","Bidhannagar, Kolkata","1256","67% off","31"
"345","Super OYO SilverKey Deshapriya Park Near Kalighat Kali Temple","Near EDEN GROUP BUILDING, Manoharpukur, Kolkata","576","80% off","828"
"346","OYO Fantasy Stay Near City Centre Salt Lake","Near Sector 1, Bidhan Nagar, Kolkata","820","69% off","733"
"347","Collection O De Sivalika Boutique Near Dakshineswar Kali Temple","Grand Trunk Road, Belur Math,Kolkata","1050","69% off","556"
"348","Flagship Majestic Inn Near Bidhanagar Station","South Dumdum, Kolkata","816","67% off","54"
"349","Collection O Premium Hotel ","1/B/24, AL BLOCK, STREET NO.22,NEW TOWN, RAJARHAT, KOLKATA","1345","65% off","667"
"350","Flagship Diamond Regency Near Birla Mandir","Near Acropolis Mall, Kolkata","688","72% off","1318"
"351","Flagship Hotel Dreamline Near Acropolis Mall","Near Sbi E-cornernullnull, Kolkata","611","72% off","1188"
"352","Collection O Motisarai Near Birla Mandir","Off Park Street, Kolkata","1164","67% off","65"
"353","OYO Pinnacle Auberge","Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road","1084","67% off","649"
"354","Capital O Fortune Inn Near Birla Mandir","Kasba, Kolkata","2185","65% off","674"
"355","Capital O Kabita Guest House Near Acropolis Mall","Mukundapur Main Road Seven Maddox Square Multi cuisine Restaurant Kolkata EM Bye Pass Opposite Dr. Devi Shetty Hospital","2082","65% off","68"
"356","OYO Townhouse 567 MB International","Beniapukur, Kolkata","746","67% off","349"
"357","Flagship Hotel Divira Inn","New Town, Kolkata","949","71% off","637"
"358","Super OYO Sagorika Inn","Chinarpark Amenia; Arsalan","549","86% off","497"
"359","Capital O Hotel Gardenia Near Birla Mandir","Near Laxminarayan Temple, Sarat Bose Road, Kolkata","1654","67% off","37"
"360","Flagship Hotel Rockstar Near Birla Mandir","Kolkata Opposite Bangladesh High Commission) Near A.J.C Bose Flyover","1229","65% off","1165"
"361","OYO Flagship Vicky Guest House Near City Centre Salt Lake","Tcs Gitobitan, Kolkata","1458","64% off","117"
"362","OYO Rooms 91148 Hotel Stay Inn","Action Area I, Kolkata","1256","67% off","637"
"363","Super OYO Townhouse 095 Akash Ganga Park Circus Near Birla Mandir","Beniapukur, Kolkata","1030","67% off","1115"
"364","Super OYO Trisha Guest House","Behind New Life Nurshing Home, Oppssite Arati cinema, Sahabagan, Kolkata","1413","65% off","35"
"365","Flagship Santoshi Banquet And Marriage Hall Near St. Thomas's Church","Kulia, Kolkata","1339","67% off","489"
"366","OYO Starlight Guest House Near Birla Mandir","Shantipally Near Acropolis Mall, Kolkata","1636","65% off","51"
"367","Super OYO Capital O 700752 Hotel Dak Plaza","Near Axis Mall, CE Block, Newtown, Kolkata 700156","993","67% off","1299"
"368","OYO Flagship 86727 New Diamond Palace","Kolkata 700107, Kolkata","1334","72% off","94"
"369","Collection O Hotel Paradise Near Chinar Park","Kolkata West Bengal Kolkata, Kolkata","816","67% off","349"
"370","OYO Hotel City Of Joy","Salt Lake, Kolkata","2082","65% off","17"
"371","OYO Red Velvet Classic Near Netaji Subhash Chandra Bose International Airport","Kaikhali Above IndusInd Bank ATM Kolkata International Airport 02 Hotel VIP Road","1084","67% off","394"
"372","OYO Flagship Monurama Homestay Near Acropolis Mall","Purba Diganta, Kolkata","2185","65% off","32"
"373","OYO Green Leaf Hospitality Near City Centre Salt Lake","FD 390 SECTOR 3 SALT LAKE CENTRAL PARK MANI SQUARE CITY CENTRE 1","929","70% off","28"
"374","Flagship Relax View Dumdum Park Near City Centre Salt Lake","Dum Dum Park, Kolkata","1213","67% off","117"
"375","Super OYO 22566 Red Velvet Inn Near Chinar park,Airport","Near Chinar Park, Backside of NPG Hotel, Opposite Charnock Hospital","1156","67% off","35"
"376","Capital O Krish Residency","Near Action Area I, New Town Bus Stand DLF1, Kolkata, West Bengal","1023","64% off","674"
"377","Collection O Avenue Inn Near VIP Road","288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ","1126","65% off","189"
"378","Super OYO Flagship 89087 Brill Rooms Saltlake City Centre","Saltlake, Kolkata","1426","65% off","235"
"379","Super OYO Collection O The Coco Inn Near South City Mall","Near 13C Bus Stand, Regent Estate, Kolkata","929","67% off","20"
"380","Flagship Kalighat","Near Raja Santosh Road, Alipore, Kolkata","1257","65% off","141"
"381","Flagship R A Homestay Near Acropolis Mall","Nitai Nagar, Kolkata","1323","68% off","34"
"382","Collection O Hotel Paradise Near Chinar Park","Kolkata West Bengal Kolkata, Kolkata","949","61% off","141"
"383","OYO Flagship 812089 Laxmi Guest House Jadavpur","46 Raja S.C.Mallick Road  Raja S.C Mallick Road, Kolkata","878","67% off","142"
"384","Flagship Hotel Dreamline Near Acropolis Mall","Near Sbi E-cornernullnull, Kolkata","3114","65% off","60"
"385","OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport","Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157","1474","68% off","474"
"386","Collection O 811014 Hotel Wow","SALT LAKE, Kolkata","1023","64% off","345"
"387","Flagship Priyangshu Inn","Madhurdaha, Kolkata","1188","65% off","1299"
"388","Flagship Relax View Dumdum Park Near City Centre Salt Lake","Dum Dum Park, Kolkata","1034","67% off","32"
"389","Collection O Avenue Inn Near VIP Road","288/2 Bangur Avenue Block B, Near Bangur Swimming Pool Jessore Road Diamond Plaza Mall Nagerbazar ","1339","65% off","19"
"390","OYO Flagship 812161 Hotel Asha Inn","BIDHANNAGAR, Kolkata","1041","65% off","397"
"391","Super OYO Capital O 700752 Hotel Dak Plaza","Near Axis Mall, CE Block, Newtown, Kolkata 700156","1463","64% off","165"
"392","OYO Pinnacle Auberge","Chinar Park Kolkata International Airport Beside Spencers Rajarhat Main Road","1314","72% off","619"
"393","OYO Maa Tara Guest House Near Acropolis Mall","Near R.N.Tagore Hospital, Nitainagar, Kolkata","1680","65% off","125"
"394","Flagship Hmb Guest House Near Salt Lake","Sector II Salt lake water tank no 8, Kolkata","1660","64% off","7"
"395","Flagship Hotel Red Rose Near Noapara Metro Station","Dum Dum, Kolkata","1334","65% off","141"
"396","OYO Townhouse 444 Heera Holiday Inn Near St. Thomas's Church","51,Elliot Road Park Street Near Assembly Of God Church Adjacent 144668:1076985","1156","68% off","141"
"397","Collection O Kyd Guest House Near Indian Museum","700001, Kolkata","1698","65% off","34"
"398","SPOT ON 812338 Om Palace Guest House","Near Jalsaghar Netaji Nagar, Kolkata","2082","65% off","35"
"399","OYO Ma Kali Guest House Near City Centre Salt Lake","Near FD Block, Bidhannagar, Kolkata","1329","65% off","428"
"400","OYO Flagship 90803 Sweet Grove","Sector V, Kolkata","626","79% off","394"
"401","OYO The Olive Near City Centre Salt Lake","Near Bus Stand, Anandaloke Hospital, Cl Block, Kolkata","1308","65% off","621"
"402","OYO Hotel Maruti Lodging","Above Reliance Trends, Raghunathpur, Kolkata","599","82% off","158"
"403","Flagship Kalighat","Near Raja Santosh Road, Alipore, Kolkata","599","77% off","42"
"404","Collection O 811014 Hotel Wow","SALT LAKE, Kolkata","949","68% off","61"
"405","OYO Flagship 805260 Saltlake Palace","Salt Lakenull, Kolkata","1252","67% off","8"
"406","Flagship Amaris Stay Hub Near Science City","171D/1F/2, 49 Picnic Garden Road, VIP Bazar, Off EM Bypass, Near Science City","699","80% off","80"
"407","Flagship Nayak Palace Inn Near Birla Mandir","Ballygunge, Kolkata","1099","67% off","343"
"408","OYO Hotel Nest Near St. Thomas's Church","Near Bata More, Royd Street, Kolkata","1437","67% off","5"
"409","OYO Flagship 76211 Honey Regency Near City Centre Salt Lake","E C Block, Kolkata","850","67% off","334"
"410","Collection O 81128 Enigma","Ballygunge, Kolkata","1087","67% off","55"
"411","OYO Flagship 812161 Hotel Asha Inn","BIDHANNAGAR, Kolkata","729","67% off","195"
"412","Collection O Kyd Guest House Near Indian Museum","700001, Kolkata","925","67% off","209"
"413","Flagship Hotel Red Rose Near Noapara Metro Station","Dum Dum, Kolkata","815","67% off","74"
"414","OYO Townhouse 444 Heera Holiday Inn Near St. Thomas's Church","51,Elliot Road Park Street Near Assembly Of God Church Adjacent 144668:1076985","811","67% off","245"
"415","Flagship Swastik Inn Near South City Mall","Poddar Nagar, Kolkata","1441","67% off","260"
"416","OYO Flagship 76629 Bimla Regency Near Noapara Metro Station","Police Station, Dum Dum, Kolkata","929","67% off","604"
"417","OYO Flagship 812443 MRS Inn","Sector III, Kolkata","1199","57% off","3"
"418","OYO Padmavati Projects Pvt Ltd Near Netaji Subhash Chandra Bose International Airport","Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157","","","6"
"419","OYO Pallyshree Guest House","Jyangra Sani Mandir, Baguiati Jora Mandir Chinar Park VIP Road Raghunathpur, Kolkata International Airport","","","7"
"420","Oyo Townhouse 92944 Hotel Pan Asia International","Jatin Das Road, Kolkata","","","144"
"421","OYO Flagship Hotel The Buddha Fooding And Lodging","Near Samabayika Behala, Kolkata","","","7398"
"422","Super OYO Townhouse Hotel Vrindavan","AA-027 Salt Lake Sector 1 1st Cross Road PNB Island Bus Stop Bidhannagar Ultadanga Kolkata 700064, West Bengal","","","7"
"423","Collection O Rest In Near Saltlake","Near Newtown Bus stand , Kolkata","","","127"
"424","Flagship 78299 White Stone Hospitality","Aminia Restaurant Back Side Chinar Park Crossing Great Eastern Kolkata Airport","","","161"
"425","Collection O 812085 Hotel 7dayz Inn Near City Centre 2","West Bengal, Kolkata","","","69"
"426","Collection O 812607 Hotel G.N Palace","Bara Bazar, Kolkata","","","107"
"427","Flagship Divya Jyoti Inn Near RDB Cinemas","AI 87 Street No 23 Action Area 1 Newtown, Rajarhat","","","77"
"428","OYO Flagship 70403 Chinar Inn","Behind Shree Shree Bholanath Kali Temple, Kolkata","","","130"
"429","OYO Hotel Padmavati Near Netaji Subhash Chandra Bose International Airport","Biswa Bangla Sarani Behind Binany Building, Chinar Park, Beside NPG Hotel, Nibedita Apartment , Kolkata 700157","","","24"
"430","OYO Flagship 81584 Hotel Swagatam","Rajarhat, Kolkata","","","129"
"431","Collection O 64870 Hotel Holiday Science City","SANJHA CHULHA RESTAURANT SCIENCE CITY EM BYE PASS","","","1"
"432","OYO Comfort Stays","Rajarhat, Kolkata","","","35"
"433","Flagship Heritage Inn Near City Centre Salt Lake","Salt Lake, Kolkata","","","22"
"434","OYO Flagship 78267 City Inn","Avisar Spencer Kalikapur","","","16"
"435","Collection O 76651 Dovers Inn","Opp Gariahat Police Station, Kolkata","","","23"
"436","Capital O Hotel Heritage Near VIP Road","VIP Rd, Beside Spandhan Hospital, Raghunathpur, Tegharia Netaji International Airport, Rajarhat, Kolkata, West Bengal  700059","","","21"
"437","Collection O Tulsi Palace",", Kolkata","","","53"
"438","OYO Flagship 812166 Moon Regency ","Sector 2, Kolkata","","",""
"439","OYO Pratiksha Guest House Near City Centre Salt Lake","Bangur Avenue Block B, Kolkata Kolkata West Bengal India 700055","","",""
"440","Townhouse 1210 Brill Rooms Inn","Action Area 1A, Kolkata","","",""
"441","Collection o 82136 Elite Stay","AL283 Al block salt lake sector 2 KOLKATA.","","",""
"442","OYO Flagship Trivedi Inn Near Ruby Hospital","Kasba, Kolkata","","",""
"443","Super OYO Flagship Mourigram Near Andul Rd","Howrah, Kolkata","","",""
"444","Flagship Sammy Hospitality","Salt Lake, Kolkata","","",""
"445","Flagship Ankita Guest House","Near Gst Bhawan, Kolkata","","",""
"446","OYO Karunamoyee Guest House Near City Centre Salt Lake","Karunamoyee Bus Terminal, Bidhannagar, Kolkata","","",""
"447","OYO Smriti Villa Residency","Sector IIInull, Kolkata","","",""
"448","OYO Sima Inn Guest House Near City Centre Salt Lake","Near Near Salt Lake, Sector 2, Kolkata","","",""
"449","Flagship Chinar Heavens Near Netaji Subhash Chandra Bose International Airport","AS/267, KAIKHALI, CHINAR PARK, P.O. - AIRPORT, KOLKATA - 700052","","",""
"450","Flagship Scholars Motel  guest House) Near St. Thomas's Church","Esplanade, Kolkata","","",""
"451","Flagship H B Guest House","Near Ruby Hospital, Kolkata","","",""
"452","OYO Smriti Villa Near City Centre Salt Lake","GD-138, GD MARKET, Near NIH, Salt Lake","","",""
"453","SPOT ON Swapna Guest House Near Birla Mandir","1 No Hatgachia Dhapa Road Kolkata Behind Itc Sonar Bangla Hotel And Beside Milan Mela Prangan, Kolkata","","",""
"454","Flagship 7 Div Guest House Near City Centre Salt Lake","CK 109 Near Saltlake Sector 2, 9 No Water Tank  Karunamayee Bus Stop","","",""
"455","Flagship New Silver Inn","Near Tagore Park, Tijala, Kolkata","","",""
"456","Flagship Tinker Bell Near Acropolis Mall","Mukundapur, Kolkata","","",""
"457","OYO Flagship Hotel Suleman Palace Near St. Thomas's Church","Bux Lane, Kolkata","","",""
"458","Flagship Rakhakali Guest House Fooding And Loding","near Shalimar station ticket counter , Kolkata","","",""
"459","Flagship Kajali Guest House Near Birla Mandir","Near Bosepukur, Kasba, Kolkata","","",""
